# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-05-22 20:10:06 EDT       (vaww02)
#
# Data for the following 33 site(s) are contained in this file
#    USGS 10293000 E WALKER RV NR BRIDGEPORT, CA
#    USGS 10308200 E FK CARSON RV BLW MARKLEEVILLE CK NR MARKLEEVILLE
#    USGS 10344400 LITTLE TRUCKEE R AB BOCA RES NR TRUCKEE CA
#    USGS 10346000 TRUCKEE R A FARAD CA
#    USGS 11160500 SAN LORENZO R A BIG TREES CA
#    USGS 11161000 SAN LORENZO R A SANTA CRUZ CA
#    USGS 11355010 PIT R BL PIT NO 1 PH NR FALL RIVER MILLS CA
#    USGS 11355500 HAT C NR HAT CREEK CA
#    USGS 11377100 SACRAMENTO R AB BEND BRIDGE NR RED BLUFF CA
#    USGS 11389500 SACRAMENTO R A COLUSA CA
#    USGS 11413000 N YUBA R BL GOODYEARS BAR CA
#    USGS 11421000 YUBA R NR MARYSVILLE CA
#    USGS 11427000 NF AMERICAN R A NORTH FORK DAM CA
#    USGS 11454000 PUTAH C NR WINTERS CA
#    USGS 11467000 RUSSIAN R A HACIENDA BRIDGE NR GUERNEVILLE CA
#    USGS 11468000 NAVARRO R NR NAVARRO CA
#    USGS 11468500 NOYO R NR FORT BRAGG CA
#    USGS 11468900 MATTOLE R NR ETTERSBURG CA
#    USGS 11469000 MATTOLE R NR PETROLIA CA
#    USGS 11475000 EEL R A FORT SEWARD CA
#    USGS 11477000 EEL R A SCOTIA CA
#    USGS 11478500 VAN DUZEN R NR BRIDGEVILLE CA
#    USGS 11481000 MAD R NR ARCATA CA
#    USGS 11482500 REDWOOD C A ORICK CA
#    USGS 11525500 TRINITY R A LEWISTON CA
#    USGS 11526250 TRINITY R A JUNCTION CITY CA
#    USGS 11527000 TRINITY R NR BURNT RANCH CA
#    USGS 11532500 SMITH R NR CRESCENT CITY CA
#    USGS 14303600 NESTUCCA RIVER NEAR BEAVER, OR
#    USGS 14319500 NORTH UMPQUA RIVER AT WINCHESTER, OR
#    USGS 14321000 UMPQUA RIVER NEAR ELKTON, OR
#    USGS 14361500 ROGUE RIVER AT GRANTS PASS, OR
#    USGS 14372300 ROGUE RIVER NEAR AGNESS, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 10293000
#            TS   parameter     statistic     Description
#        102494       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=10293000&ts_ids=102494]
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	102494_00060_00003	102494_00060_00003_cd
5s	15s	20d	14n	10s
USGS	10293000	2012-01-01	26.4	A
USGS	10293000	2012-01-02	26.4	A
USGS	10293000	2012-01-03	26.4	A
USGS	10293000	2012-01-04	26.4	A
USGS	10293000	2012-01-05	26.4	A
USGS	10293000	2012-01-06	26.4	A
USGS	10293000	2012-01-07	26.4	A
USGS	10293000	2012-01-08	26.4	A
USGS	10293000	2012-01-09	26.4	A
USGS	10293000	2012-01-10	26.4	A
USGS	10293000	2012-01-11	26.4	A
USGS	10293000	2012-01-12	26.4	A
USGS	10293000	2012-01-13	26.4	A
USGS	10293000	2012-01-14	26.4	A
USGS	10293000	2012-01-15	26.4	A
USGS	10293000	2012-01-16	26.4	A
USGS	10293000	2012-01-17	32.1	A
USGS	10293000	2012-01-18	37.1	A
USGS	10293000	2012-01-19	31.8	A
USGS	10293000	2012-01-20	26.8	A
USGS	10293000	2012-01-21	27.9	A
USGS	10293000	2012-01-22	27.2	A
USGS	10293000	2012-01-23	26.0	A
USGS	10293000	2012-01-24	27.2	A
USGS	10293000	2012-01-25	27.1	A
USGS	10293000	2012-01-26	26.9	A
USGS	10293000	2012-01-27	27.2	A
USGS	10293000	2012-01-28	26.8	A
USGS	10293000	2012-01-29	26.9	A
USGS	10293000	2012-01-30	26.8	A
USGS	10293000	2012-01-31	26.8	A
USGS	10293000	2012-02-01	27.2	A
USGS	10293000	2012-02-02	26.8	A
USGS	10293000	2012-02-03	26.4	A
USGS	10293000	2012-02-04	26.4	A
USGS	10293000	2012-02-05	26.4	A
USGS	10293000	2012-02-06	26.6	A
USGS	10293000	2012-02-07	26.5	A
USGS	10293000	2012-02-08	26.6	A
USGS	10293000	2012-02-09	26.7	A
USGS	10293000	2012-02-10	26.5	A
USGS	10293000	2012-02-11	26.7	A
USGS	10293000	2012-02-12	26.8	A
USGS	10293000	2012-02-13	22.8	A
USGS	10293000	2012-02-14	20.2	A
USGS	10293000	2012-02-15	20.2	A
USGS	10293000	2012-02-16	20.2	A
USGS	10293000	2012-02-17	20.2	A
USGS	10293000	2012-02-18	20.2	A
USGS	10293000	2012-02-19	20.2	A
USGS	10293000	2012-02-20	20.2	A
USGS	10293000	2012-02-21	20.2	A
USGS	10293000	2012-02-22	20.2	A
USGS	10293000	2012-02-23	19.8	A
USGS	10293000	2012-02-24	19.5	A
USGS	10293000	2012-02-25	19.5	A
USGS	10293000	2012-02-26	19.5	A
USGS	10293000	2012-02-27	19.5	A
USGS	10293000	2012-02-28	28.7	A
USGS	10293000	2012-02-29	42.6	A
USGS	10293000	2012-03-01	53.6	A
USGS	10293000	2012-03-02	66.5	A
USGS	10293000	2012-03-03	67.1	A
USGS	10293000	2012-03-04	67.9	A
USGS	10293000	2012-03-05	67.8	A
USGS	10293000	2012-03-06	67.9	A
USGS	10293000	2012-03-07	67.9	A
USGS	10293000	2012-03-08	63.4	A
USGS	10293000	2012-03-09	57.4	A
USGS	10293000	2012-03-10	60.1	A
USGS	10293000	2012-03-11	68.7	A
USGS	10293000	2012-03-12	68.0	A
USGS	10293000	2012-03-13	68.6	A
USGS	10293000	2012-03-14	67.9	A
USGS	10293000	2012-03-15	67.9	A
USGS	10293000	2012-03-16	68.0	A
USGS	10293000	2012-03-17	67.9	A
USGS	10293000	2012-03-18	67.9	A
USGS	10293000	2012-03-19	63.5	A
USGS	10293000	2012-03-20	56.3	A
USGS	10293000	2012-03-21	56.2	A
USGS	10293000	2012-03-22	56.3	A
USGS	10293000	2012-03-23	56.4	A
USGS	10293000	2012-03-24	56.6	A
USGS	10293000	2012-03-25	57.4	A
USGS	10293000	2012-03-26	57.1	A
USGS	10293000	2012-03-27	57.3	A
USGS	10293000	2012-03-28	46.7	A
USGS	10293000	2012-03-29	30.0	A
USGS	10293000	2012-03-30	29.8	A
USGS	10293000	2012-03-31	33.3	A
USGS	10293000	2012-04-01	40.3	A
USGS	10293000	2012-04-02	49.7	A
USGS	10293000	2012-04-03	62.1	A
USGS	10293000	2012-04-04	75.9	A
USGS	10293000	2012-04-05	99.6	A
USGS	10293000	2012-04-06	106	A
USGS	10293000	2012-04-07	105	A
USGS	10293000	2012-04-08	96.4	A
USGS	10293000	2012-04-09	95.3	A
USGS	10293000	2012-04-10	90.1	A
USGS	10293000	2012-04-11	82.9	A
USGS	10293000	2012-04-12	82.6	A
USGS	10293000	2012-04-13	82.8	A
USGS	10293000	2012-04-14	83.3	A
USGS	10293000	2012-04-15	81.3	A
USGS	10293000	2012-04-16	90.4	A
USGS	10293000	2012-04-17	114	A
USGS	10293000	2012-04-18	126	A
USGS	10293000	2012-04-19	127	A
USGS	10293000	2012-04-20	126	A
USGS	10293000	2012-04-21	125	A
USGS	10293000	2012-04-22	125	A
USGS	10293000	2012-04-23	134	A
USGS	10293000	2012-04-24	149	A
USGS	10293000	2012-04-25	150	A
USGS	10293000	2012-04-26	125	A
USGS	10293000	2012-04-27	92.1	A
USGS	10293000	2012-04-28	93.1	A
USGS	10293000	2012-04-29	93.1	A
USGS	10293000	2012-04-30	103	A
USGS	10293000	2012-05-01	111	A
USGS	10293000	2012-05-02	105	A
USGS	10293000	2012-05-03	105	A
USGS	10293000	2012-05-04	105	A
USGS	10293000	2012-05-05	96.2	A
USGS	10293000	2012-05-06	83.3	A
USGS	10293000	2012-05-07	82.8	A
USGS	10293000	2012-05-08	83.0	A
USGS	10293000	2012-05-09	83.7	A
USGS	10293000	2012-05-10	83.7	A
USGS	10293000	2012-05-11	83.7	A
USGS	10293000	2012-05-12	93.8	A
USGS	10293000	2012-05-13	108	A
USGS	10293000	2012-05-14	108	A
USGS	10293000	2012-05-15	118	A
USGS	10293000	2012-05-16	125	A
USGS	10293000	2012-05-17	119	A
USGS	10293000	2012-05-18	119	A
USGS	10293000	2012-05-19	115	A
USGS	10293000	2012-05-20	108	A
USGS	10293000	2012-05-21	113	A
USGS	10293000	2012-05-22	115	A
USGS	10293000	2012-05-23	109	A
USGS	10293000	2012-05-24	109	A
USGS	10293000	2012-05-25	110	A
USGS	10293000	2012-05-26	109	A
USGS	10293000	2012-05-27	109	A
USGS	10293000	2012-05-28	109	A
USGS	10293000	2012-05-29	99.7	A
USGS	10293000	2012-05-30	101	A
USGS	10293000	2012-05-31	114	A
USGS	10293000	2012-06-01	116	A
USGS	10293000	2012-06-02	119	A
USGS	10293000	2012-06-03	119	A
USGS	10293000	2012-06-04	119	A
USGS	10293000	2012-06-05	119	A
USGS	10293000	2012-06-06	118	A
USGS	10293000	2012-06-07	118	A
USGS	10293000	2012-06-08	118	A
USGS	10293000	2012-06-09	119	A
USGS	10293000	2012-06-10	118	A
USGS	10293000	2012-06-11	118	A
USGS	10293000	2012-06-12	123	A
USGS	10293000	2012-06-13	135	A
USGS	10293000	2012-06-14	147	A
USGS	10293000	2012-06-15	154	A
USGS	10293000	2012-06-16	154	A
USGS	10293000	2012-06-17	154	A
USGS	10293000	2012-06-18	154	A
USGS	10293000	2012-06-19	154	A
USGS	10293000	2012-06-20	155	A
USGS	10293000	2012-06-21	154	A
USGS	10293000	2012-06-22	155	A
USGS	10293000	2012-06-23	160	A
USGS	10293000	2012-06-24	167	A
USGS	10293000	2012-06-25	161	A
USGS	10293000	2012-06-26	144	A
USGS	10293000	2012-06-27	140	A
USGS	10293000	2012-06-28	145	A
USGS	10293000	2012-06-29	130	A
USGS	10293000	2012-06-30	136	A
USGS	10293000	2012-07-01	144	A
USGS	10293000	2012-07-02	134	A
USGS	10293000	2012-07-03	116	A
USGS	10293000	2012-07-04	110	A
USGS	10293000	2012-07-05	110	A
USGS	10293000	2012-07-06	110	A
USGS	10293000	2012-07-07	110	A
USGS	10293000	2012-07-08	110	A
USGS	10293000	2012-07-09	101	A
USGS	10293000	2012-07-10	94.7	A
USGS	10293000	2012-07-11	91.8	A
USGS	10293000	2012-07-12	83.9	A
USGS	10293000	2012-07-13	89.9	A
USGS	10293000	2012-07-14	89.9	A
USGS	10293000	2012-07-15	89.6	A
USGS	10293000	2012-07-16	94.0	A
USGS	10293000	2012-07-17	99.7	A
USGS	10293000	2012-07-18	99.8	A
USGS	10293000	2012-07-19	119	A
USGS	10293000	2012-07-20	132	A
USGS	10293000	2012-07-21	132	A
USGS	10293000	2012-07-22	131	A
USGS	10293000	2012-07-23	126	A
USGS	10293000	2012-07-24	120	A
USGS	10293000	2012-07-25	119	A
USGS	10293000	2012-07-26	119	A
USGS	10293000	2012-07-27	134	A
USGS	10293000	2012-07-28	154	A
USGS	10293000	2012-07-29	155	A
USGS	10293000	2012-07-30	181	A
USGS	10293000	2012-07-31	216	A
USGS	10293000	2012-08-01	191	A
USGS	10293000	2012-08-02	167	A
USGS	10293000	2012-08-03	170	A
USGS	10293000	2012-08-04	182	A
USGS	10293000	2012-08-05	204	A
USGS	10293000	2012-08-06	203	A
USGS	10293000	2012-08-07	197	A
USGS	10293000	2012-08-08	180	A
USGS	10293000	2012-08-09	166	A
USGS	10293000	2012-08-10	160	A
USGS	10293000	2012-08-11	158	A
USGS	10293000	2012-08-12	164	A
USGS	10293000	2012-08-13	153	A
USGS	10293000	2012-08-14	138	A
USGS	10293000	2012-08-15	146	A
USGS	10293000	2012-08-16	144	A
USGS	10293000	2012-08-17	136	A
USGS	10293000	2012-08-18	136	A
USGS	10293000	2012-08-19	135	A
USGS	10293000	2012-08-20	122	A
USGS	10293000	2012-08-21	118	A
USGS	10293000	2012-08-22	119	A
USGS	10293000	2012-08-23	96.5	A
USGS	10293000	2012-08-24	79.2	A
USGS	10293000	2012-08-25	79.2	A
USGS	10293000	2012-08-26	79.2	A
USGS	10293000	2012-08-27	83.8	A
USGS	10293000	2012-08-28	89.7	A
USGS	10293000	2012-08-29	99.0	A
USGS	10293000	2012-08-30	110	A
USGS	10293000	2012-08-31	113	A
USGS	10293000	2012-09-01	119	A
USGS	10293000	2012-09-02	118	A
USGS	10293000	2012-09-03	117	A
USGS	10293000	2012-09-04	125	A
USGS	10293000	2012-09-05	132	A
USGS	10293000	2012-09-06	125	A
USGS	10293000	2012-09-07	125	A
USGS	10293000	2012-09-08	124	A
USGS	10293000	2012-09-09	122	A
USGS	10293000	2012-09-10	121	A
USGS	10293000	2012-09-11	130	A
USGS	10293000	2012-09-12	133	A
USGS	10293000	2012-09-13	130	A
USGS	10293000	2012-09-14	140	A
USGS	10293000	2012-09-15	138	A
USGS	10293000	2012-09-16	138	A
USGS	10293000	2012-09-17	133	A
USGS	10293000	2012-09-18	118	A
USGS	10293000	2012-09-19	102	A
USGS	10293000	2012-09-20	94.7	A
USGS	10293000	2012-09-21	94.7	A
USGS	10293000	2012-09-22	102	A
USGS	10293000	2012-09-23	113	A
USGS	10293000	2012-09-24	113	A
USGS	10293000	2012-09-25	102	A
USGS	10293000	2012-09-26	91.2	A
USGS	10293000	2012-09-27	75.1	A
USGS	10293000	2012-09-28	59.3	A
USGS	10293000	2012-09-29	70.3	A
USGS	10293000	2012-09-30	79.2	A
USGS	10293000	2012-10-01	75.1	A
USGS	10293000	2012-10-02	72.8	A
USGS	10293000	2012-10-03	77.7	A
USGS	10293000	2012-10-04	77.7	A
USGS	10293000	2012-10-05	77.7	A
USGS	10293000	2012-10-06	70.0	A
USGS	10293000	2012-10-07	59.9	A
USGS	10293000	2012-10-08	59.9	A
USGS	10293000	2012-10-09	52.4	A
USGS	10293000	2012-10-10	42.2	A
USGS	10293000	2012-10-11	38.1	A
USGS	10293000	2012-10-12	32.7	A
USGS	10293000	2012-10-13	32.5	A
USGS	10293000	2012-10-14	32.5	A
USGS	10293000	2012-10-15	32.5	A
USGS	10293000	2012-10-16	32.5	A
USGS	10293000	2012-10-17	40.1	A
USGS	10293000	2012-10-18	50.2	A
USGS	10293000	2012-10-19	46.4	A
USGS	10293000	2012-10-20	48.1	A
USGS	10293000	2012-10-21	58.7	A
USGS	10293000	2012-10-22	58.7	A
USGS	10293000	2012-10-23	58.6	A
USGS	10293000	2012-10-24	61.5	A
USGS	10293000	2012-10-25	66.5	A
USGS	10293000	2012-10-26	66.5	A
USGS	10293000	2012-10-27	66.5	A
USGS	10293000	2012-10-28	66.5	A
USGS	10293000	2012-10-29	59.7	A
USGS	10293000	2012-10-30	38.9	A
USGS	10293000	2012-10-31	23.4	A
USGS	10293000	2012-11-01	23.2	A
USGS	10293000	2012-11-02	23.2	A
USGS	10293000	2012-11-03	23.2	A
USGS	10293000	2012-11-04	23.2	A
USGS	10293000	2012-11-05	23.2	A
USGS	10293000	2012-11-06	23.2	A
USGS	10293000	2012-11-07	23.2	A
USGS	10293000	2012-11-08	23.2	A
USGS	10293000	2012-11-09	23.2	A
USGS	10293000	2012-11-10	23.2	A
USGS	10293000	2012-11-11	23.2	A
USGS	10293000	2012-11-12	23.2	A
USGS	10293000	2012-11-13	23.2	A
USGS	10293000	2012-11-14	23.2	A
USGS	10293000	2012-11-15	23.2	A
USGS	10293000	2012-11-16	23.2	A
USGS	10293000	2012-11-17	23.2	A
USGS	10293000	2012-11-18	23.2	A
USGS	10293000	2012-11-19	23.2	A
USGS	10293000	2012-11-20	23.2	A
