,Date,Precip,Name
0,2020-10-20,0.0,Russian River HaciendaBridge
1,2020-10-21,0.0,Russian River HaciendaBridge
2,2020-10-22,0.0,Russian River HaciendaBridge
3,2020-10-24,0.0,Russian River HaciendaBridge
4,2020-10-25,0.0,Russian River HaciendaBridge
5,2020-10-26,0.0,Russian River HaciendaBridge
6,2020-10-27,0.0,Russian River HaciendaBridge
7,2020-10-28,0.0,Russian River HaciendaBridge
8,2020-10-29,0.0,Russian River HaciendaBridge
9,2020-10-30,0.0,Russian River HaciendaBridge
10,2020-10-31,0.0,Russian River HaciendaBridge
11,2020-11-01,0.0,Russian River HaciendaBridge
12,2020-11-02,0.0,Russian River HaciendaBridge
13,2020-11-03,0.0,Russian River HaciendaBridge
14,2020-11-04,0.0,Russian River HaciendaBridge
15,2020-11-05,0.0,Russian River HaciendaBridge
16,2020-11-06,0.0,Russian River HaciendaBridge
17,2020-11-07,0.8,Russian River HaciendaBridge
18,2020-11-08,0.0,Russian River HaciendaBridge
19,2020-11-09,0.0,Russian River HaciendaBridge
20,2020-11-10,0.0,Russian River HaciendaBridge
21,2020-11-11,0.0,Russian River HaciendaBridge
22,2020-11-12,0.0,Russian River HaciendaBridge
23,2020-11-13,0.0,Russian River HaciendaBridge
24,2020-11-14,12.2,Russian River HaciendaBridge
25,2020-11-15,0.0,Russian River HaciendaBridge
26,2020-11-17,0.0,Russian River HaciendaBridge
27,2020-11-18,26.7,Russian River HaciendaBridge
28,2020-11-19,0.5,Russian River HaciendaBridge
29,2020-11-20,0.0,Russian River HaciendaBridge
30,2020-11-21,0.0,Russian River HaciendaBridge
31,2020-11-22,0.0,Russian River HaciendaBridge
32,2020-11-23,0.0,Russian River HaciendaBridge
33,2020-11-24,0.0,Russian River HaciendaBridge
34,2020-11-25,0.0,Russian River HaciendaBridge
35,2020-11-26,0.0,Russian River HaciendaBridge
36,2020-11-27,0.0,Russian River HaciendaBridge
37,2020-11-28,0.0,Russian River HaciendaBridge
38,2020-11-29,0.0,Russian River HaciendaBridge
39,2020-11-30,0.0,Russian River HaciendaBridge
40,2020-12-01,0.0,Russian River HaciendaBridge
41,2020-12-02,0.0,Russian River HaciendaBridge
42,2020-12-03,0.0,Russian River HaciendaBridge
43,2020-12-04,0.0,Russian River HaciendaBridge
44,2020-12-05,0.0,Russian River HaciendaBridge
45,2020-12-06,0.0,Russian River HaciendaBridge
46,2020-12-07,0.0,Russian River HaciendaBridge
47,2020-12-08,0.0,Russian River HaciendaBridge
48,2020-12-09,0.0,Russian River HaciendaBridge
49,2020-12-10,0.0,Russian River HaciendaBridge
50,2020-12-11,0.0,Russian River HaciendaBridge
51,2020-12-12,14.2,Russian River HaciendaBridge
52,2020-12-13,10.2,Russian River HaciendaBridge
53,2020-12-14,7.4,Russian River HaciendaBridge
54,2020-12-15,0.0,Russian River HaciendaBridge
55,2020-12-16,0.0,Russian River HaciendaBridge
56,2020-12-17,21.6,Russian River HaciendaBridge
57,2020-12-18,0.0,Russian River HaciendaBridge
58,2020-12-19,0.0,Russian River HaciendaBridge
59,2020-12-20,0.0,Russian River HaciendaBridge
60,2020-12-21,0.0,Russian River HaciendaBridge
61,2020-12-22,0.0,Russian River HaciendaBridge
62,2020-12-23,0.0,Russian River HaciendaBridge
63,2020-12-24,0.0,Russian River HaciendaBridge
64,2020-12-25,0.0,Russian River HaciendaBridge
65,2020-12-26,28.7,Russian River HaciendaBridge
66,2020-12-27,0.3,Russian River HaciendaBridge
67,2020-12-28,0.0,Russian River HaciendaBridge
68,2020-12-29,0.0,Russian River HaciendaBridge
69,2020-12-30,0.0,Russian River HaciendaBridge
70,2020-12-31,3.6,Russian River HaciendaBridge
71,2021-01-01,0.0,Russian River HaciendaBridge
72,2021-01-02,4.1,Russian River HaciendaBridge
73,2021-01-03,0.5,Russian River HaciendaBridge
74,2021-01-04,8.1,Russian River HaciendaBridge
75,2021-01-05,13.0,Russian River HaciendaBridge
76,2021-01-06,0.0,Russian River HaciendaBridge
77,2021-01-07,5.3,Russian River HaciendaBridge
78,2021-01-08,5.6,Russian River HaciendaBridge
79,2021-01-09,0.5,Russian River HaciendaBridge
80,2021-01-10,0.0,Russian River HaciendaBridge
81,2021-01-11,0.5,Russian River HaciendaBridge
82,2021-01-12,0.0,Russian River HaciendaBridge
83,2021-01-13,0.3,Russian River HaciendaBridge
84,2021-01-14,0.0,Russian River HaciendaBridge
85,2021-01-15,0.0,Russian River HaciendaBridge
86,2021-01-16,0.0,Russian River HaciendaBridge
87,2021-01-17,0.0,Russian River HaciendaBridge
88,2021-01-18,0.0,Russian River HaciendaBridge
89,2021-01-19,0.0,Russian River HaciendaBridge
90,2021-01-20,0.0,Russian River HaciendaBridge
91,2021-01-21,0.0,Russian River HaciendaBridge
92,2021-01-22,2.3,Russian River HaciendaBridge
93,2021-01-23,2.5,Russian River HaciendaBridge
