Value,Name,VariableDescription,Date
"2,712","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/6/21
"2,691","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/6/21
"2,678","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/6/21
"2,669","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/6/21
"2,691","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/6/21
"2,813","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"2,969","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,064","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,200","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,382","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,559","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,642","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,656","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,626","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,591","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,554","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,491","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,424","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,368","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,300","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,234","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,177","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,124","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/7/21
"3,103","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"3,132","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"3,098","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"3,058","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"3,034","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"2,983","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"2,951","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"2,946","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"2,952","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"2,977","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"3,009","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"3,073","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"3,126","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"3,212","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"3,309","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"3,381","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"3,406","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"3,408","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/8/21
"3,412","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"3,380","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"3,335","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"3,279","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"3,229","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"3,164","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"3,109","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"3,060","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"3,014","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"2,979","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"2,936","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"2,899","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"2,868","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"2,836","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"2,812","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"2,772","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"2,747","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"2,720","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/9/21
"2,679","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/10/21
"2,677","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/10/21
